10459736282,223681939,2019-01-10 17:50:24,2019-01-10 18:09:41,73.160.155.33,,,,,I would try to make plans for another week.  I would avoid confrontation.  I would try to work out the problem to see if we can make it work.,I would try to finish up early.  I would try to work on the amount of work before I get more.  I would concentrate on completing the first task sooner rather then later.,I would go to learn more.  It would be a good opportunity to meet new people.  I would like to find out more information.,I would talk to my boss.  I would try to correct what they feel is wrong.  I would try harder so I don’t lose my bonus.,I would find it fun.  It is neat to discovery things about another country.  It would be a good thing to meet this person.,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree strongly,Agree a little,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Disagree strongly,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Neutral; no opinion,Agree a little,Disagree strongly,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree a little,Disagree strongly,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree strongly,Neutral; no opinion,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Agree a little,Disagree strongly,Disagree strongly,Agree a little,Agree a little,Disagree strongly,Disagree strongly,Agree a little,Agree a little,Female,United States,,White,,21-29,Graduated from college (B.A./B.S.),A29X5S2VA01LJH,
10459736212,223681939,2019-01-10 17:49:50,2019-01-10 18:07:36,104.58.61.126,,,,,"I would request the company policy regarding the situation.  If no company policy exists, I would reschedule MY vacation if my colleague had seniority, if not, I would request my colleague reschedule theirs.","I would complete the project in a timely manner so that I only had to ""tweak"" it before the actual due date.  That way, I could balance my time with other responsibilities and still have time in case my boss dumps a last minute project/task on me.","I would try to coerce my colleague into going with me and promise we would make it as short as possible.  If my colleague refuses to go, I will go alone and make the best of it because I would want to please my client and take advantage of the opportunity to network as well.","I would be very upset.  Once I calmed down, I would respond in writing (in a timely manner) to the negative feedback with examples of why it isn't true/correct.  I would present the written document to my manager and request a copy of my response be made part of my file for future reference.  If it isn't documented, it didn't happen.  So, I would be sure there was a written response made part of my file.","I would love to be part of the experience.  I truly enjoy learning about different cultures and countries and would embrace the opportunity on a personal level.  On a professional level, it would look great on my resume!",Neutral; no opinion,Agree a little,Disagree strongly,Agree strongly,Neutral; no opinion,Agree a little,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Agree strongly,Neutral; no opinion,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Neutral; no opinion,Disagree a little,Agree a little,Disagree strongly,Disagree a little,Disagree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree a little,Disagree strongly,Agree strongly,Neutral; no opinion,Agree a little,Agree a little,Neutral; no opinion,Disagree a little,Disagree strongly,Disagree a little,Disagree a little,Disagree strongly,Disagree strongly,Agree a little,Disagree strongly,Agree a little,Neutral; no opinion,Agree a little,Agree strongly,Agree a little,Disagree strongly,Disagree a little,Disagree a little,Disagree strongly,Agree a little,Disagree strongly,Disagree a little,Agree strongly,Agree strongly,Disagree strongly,Disagree a little,Neutral; no opinion,Neutral; no opinion,Disagree a little,Disagree strongly,Disagree strongly,Agree a little,Female,United States,,White,,50-59,Associates degree,AD3176YJTD639,fawfYPLC2s
10459735952,223681939,2019-01-10 17:48:22,2019-01-10 18:11:26,59.96.216.210,,,,,I would have to change my leave and take it in a different week . I have to do this since i do not want my office work to suffer. I need to inform my family about this change and i definitely know they will accept this change.,I would be handling this project with caution given the possibility that my boss may give me some last minute jobs to handle. Even though i know that I have sufficient time for the project till the due date but i would approach this with caution . i would try to finish all the critical jobs in the project first so that the non critical part will be required to handle during the later part of the project.,I would have to definitely go since my colleague has already decided to abstain from that meeting. This meeting will also help me get introduced with a lot of other people who would play a very important role in my official job. Hence whatever may be the time i would definitely make it for the evening meeting.,I would like to forget this negative feeedback from my manager and not take this along with me in the future. The reason for not taking it alongwith in the future that it should not effect my future assignments. However i would also talk to my manager and explain to him the situation so that this negative feedback does not effect my bonus.,i would definitely find this assignment very interesting and enjoyable. The reason is that i would be able to interact with a person who is different from my country and culture and this would enable me to learn a lot of things. I would also come to learn a lot of things about this person who is from a different country ,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Neutral; no opinion,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree a little,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Male,United States,,Asian,,30-39,Graduated from college (B.A./B.S.),A2DNCU1H95HCBS,nIoLBT7t4L
10459735621,223681939,2019-01-10 17:49:58,2019-01-10 18:05:47,73.212.154.169,,,,,I would change my plans so that my co worker could get the time requested in hopes that would do the same for me the next go around.,i would do the project to the best of my ability in the time given.,I would still go because it's a great opportunity despite not knowing anyone there.,I would try to do whatever was asked whether I agree with it or not.,It would probably be boring because I wouldn't be doing the research because it is something that I want to learn about but rather something I have to learn about.,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Agree a little,Agree strongly,Disagree a little,Disagree strongly,Agree a little,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree a little,Disagree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree a little,Neutral; no opinion,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Agree a little,Agree strongly,Agree strongly,Neutral; no opinion,Agree strongly,Disagree a little,Neutral; no opinion,Neutral; no opinion,Disagree strongly,Disagree strongly,Agree a little,Disagree strongly,Agree a little,Agree a little,Disagree strongly,Agree a little,Agree strongly,Disagree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree a little,Agree a little,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Disagree a little,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Neutral; no opinion,Male,United States,,Black or African-American,,30-39,Graduated from high school,A2UGKEK40H6R0W,AWSf4lGpTl
10459735288,223681939,2019-01-10 17:49:48,2019-01-10 17:50:56,64.121.196.248,,,,,You should be paying more money for multiple written responses.,You should be paying more money for multiple written responses.,You should be paying more money for multiple written responses.,You should be paying more money for multiple written responses.,You should be paying more money for multiple written responses.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10459734616,223681939,2019-01-10 17:49:09,2019-01-10 17:52:08,174.104.13.169,,,,,"I would change my vacation to keep peace at work, hopefully I can change my plans. ",I would try and get it done early so I wouldnt have any hangup later.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10459734468,223681939,2019-01-10 17:49:06,2019-01-10 17:58:18,174.199.9.77,,,,,"I would check with the supervisor to see who put their request in first. If it was me, I would tell my co-worker that I had already secured those dates. If he was first, then I would change my plans. I believe the first one to submit the request should be the person who has that time off.",I would start working on the project now and put in some extra time. That way if he asks me to do other things before the deadline I won't be under so much pressure. Maybe spend an extra 30 minutes per day on the project to ensure it gets done.,"I would still go to the function. It will be good for the company to have someone there. Also, it would be good for me to network and strengthen the relationship with the client.","I would address the issue with him/her and explain why I don't think it was correct. If the problem can't be resolved, I would go over there head to their supervisor. It's not somethign you sit back and take.,",I would be excited to embrace the challenge. It would be a great experience for me on the professional side and also give me a chance to see the world. I think it could help my career as well.,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree a little,Agree a little,Disagree strongly,Agree a little,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Neutral; no opinion,Agree a little,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree a little,Agree strongly,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Neutral; no opinion,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Male,United States,,White,,40-49,Graduated from college (B.A./B.S.),A2NIG9U9WU0AFU,ZexGaKadHx
10459734322,223681939,2019-01-10 17:48:59,2019-01-10 17:59:19,65.129.86.241,,,,,What I would do in this situation would depend on the variables that dictate my needs. Have I reserved or spent money on this vacation already? Does it involve extended family? If I were to put up a fight I would also say I don't have the ability to cancel as well and I would ask for a coin flip. ,Going into this project I would already be aware of my bosses tendencies. I would absolutely get a head start on this project and do most of the work in the first week. ,In this situation I would not feel comfortable going alone. I would tell my co worker about this and that he should come and at least make an appearance. appearances are better than nothing at all. ,I would ask for a review with another party present. I would record this conversation because my state is a one party consent state. I would ask for a more detailed reason I was given some negative feedback. If the negative feedback caused losing my annual bonus I would speak to a lawyer. ,In this situation I would be absolutely happy to learn some things about Norway.  This would give me an opportunity to learn about the country so I could visit it some day. ,Neutral; no opinion,Disagree a little,Disagree a little,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Agree a little,Agree strongly,Agree a little,Neutral; no opinion,Agree strongly,Agree a little,Neutral; no opinion,Agree a little,Disagree a little,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Disagree a little,Disagree strongly,Disagree a little,Agree a little,Neutral; no opinion,Agree a little,Disagree a little,Neutral; no opinion,Agree a little,Neutral; no opinion,Disagree a little,Agree a little,Agree a little,Neutral; no opinion,Agree a little,Disagree a little,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Agree a little,Neutral; no opinion,Neutral; no opinion,Agree a little,Agree a little,Neutral; no opinion,Disagree a little,Neutral; no opinion,Disagree a little,Disagree a little,Agree a little,Agree a little,Neutral; no opinion,Neutral; no opinion,Agree a little,Agree a little,Agree a little,Agree a little,Neutral; no opinion,Neutral; no opinion,Disagree a little,Disagree a little,Agree a little,Neutral; no opinion,Agree a little,Agree a little,Neutral; no opinion,Disagree a little,Male,United States,,White,,30-39,Graduated from college (B.A./B.S.),A26NCDXK8B4LCS,G8YZuHwG9B
10459733784,223681939,2019-01-10 17:48:41,2019-01-10 18:00:26,107.213.212.129,,,,,"I would let my colleague have their vacation, but I would make sure to let my supervisor know that I'm being the bigger person.  I'd also ask for first dibs on vacation time if a new conflict ever arises in the future.  I'd hope that my colleague would be appreciative of my sacrifice.","I would get started on my project.  I'd try to get as much work done on it as possible that first week, so that if something else arises, I won't be stressed.  I'd want to make sure that I'm done at least a couple of days prior to the due date.","I would try to convince my colleague to go.  I would offer to buy my colleague dinner if they went.  But if he said no, I wouldn't push too hard and I'd go alone.",I would be really upset.  I'd try and talk with my co-workers and get their thoughts on the situation.  I might try and talk with my manager.  I'd also try to let my manager's boss know that what he said is not true.,I would find the experience enjoyable because it's different from work.  I like to learn about other countries.  It would be a good excuse to try new things and new foods.,Disagree a little,Neutral; no opinion,Agree a little,Neutral; no opinion,Agree a little,Disagree a little,Agree a little,Agree a little,Neutral; no opinion,Disagree a little,Agree strongly,Agree strongly,Agree a little,Agree strongly,Agree a little,Disagree a little,Agree a little,Neutral; no opinion,Neutral; no opinion,Disagree strongly,Agree a little,Agree a little,Disagree a little,Disagree a little,Agree a little,Agree a little,Agree strongly,Neutral; no opinion,Neutral; no opinion,Agree a little,Agree a little,Agree a little,Neutral; no opinion,Agree a little,Neutral; no opinion,Disagree a little,Disagree a little,Neutral; no opinion,Neutral; no opinion,Disagree a little,Disagree strongly,Neutral; no opinion,Disagree a little,Disagree a little,Disagree a little,Agree a little,Agree strongly,Agree strongly,Agree a little,Disagree a little,Disagree a little,Agree a little,Neutral; no opinion,Agree a little,Agree a little,Agree strongly,Neutral; no opinion,Disagree a little,Disagree a little,Disagree a little,Disagree a little,Agree a little,Disagree a little,Disagree strongly,Neutral; no opinion,Female,United States,,Asian,,30-39,Graduated from college (B.A./B.S.),A3IN1OIDSYNM86,wtZV0AIJX5
10459733692,223681939,2019-01-10 17:48:02,2019-01-10 18:05:50,75.110.162.172,,,,,I would just let my coworker has the vacation time since they are not willing to change their plans. I figure that willing giving up my time would look good in my bosses eyes and they will think about me more when its time for a promotion. ,"I would go ahead and get the first project due out of the way. That way, when my boss gives me a last minute task, I would already be finish with my project so I wouldn't have to rush. I would want to give my best on all tasks so finishing early would let me give my best all around. ","I would still go. Networking is all about meeting people, so even if I didn't know anybody when I got there, by the time I left I would. Plus it would look good to not only the clients but also my boss. ","I would feel horrible. Getting negative feedback is never fun since it hurts to hear and this could mess with me getting a bonus, but it also might be something I need to hear. I would take the feedback I got and try and do things different so my boss could see that I was at least trying to do better. ","I would love to be able to learn new things about a culture that didn't involve me having to travel. I would be taking on a project that could be good for not only me company, but also for me so that is a huge win win for me. ",Agree a little,Agree a little,Disagree strongly,Agree a little,Disagree strongly,Disagree a little,Agree strongly,Disagree a little,Agree a little,Agree a little,Agree strongly,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Neutral; no opinion,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree a little,Disagree strongly,Neutral; no opinion,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree a little,Disagree strongly,Agree strongly,Disagree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Female,United States,,Black or African-American,,30-39,Graduated from college (B.A./B.S.),A23B9UVYZ52CL0,G8YZuHwG9B
10459733601,223681939,2019-01-10 17:48:30,2019-01-10 18:09:45,72.216.100.208,,,,,"I would probably need to discuss with them further about why they are not willing to change plans and decide who has a greater need to change. If they didn't work with me and talk to me, I would probably discuss that with my supervisor. If they had a greater need and/or more urgent reason to take this particular time off, then I would reschedule my time off.",I would go ahead and do all of or most of the project right now. I would know that my boss might give me a last minute task and prepare for that. Plus this way if I got it done early then the days leading up to the due date could be pretty easy. I might as well get it taken care of than sit on it.,"I would first try to encourage them to go. I would bring up important points like how this is our largest client and it would look really good for us to be there. I'd bring up the awkwardness of not knowing anyone. If they insisted on not going, I would probably still go. It would be awkward but it could look good to the client.","I would evaluate what the feedback was carefully and gather evidence to the contrary. I would go to the manager and present these facts to him, along with a message about why it is important, how I felt, etc. If the manager were unwilling to budge then I would probably seek the next level of power above him for help. I would not let something like this go lightly as it could be damaging to my finances and my career.","I would be interested in learning more about Norway. It seems like a pretty interesting country. I would be open to being this volunteer. However, I know I would want to travel there to get the full experience.",Agree a little,Agree a little,Disagree a little,Neutral; no opinion,Disagree a little,Neutral; no opinion,Agree strongly,Disagree a little,Agree a little,Agree a little,Agree strongly,Disagree a little,Disagree a little,Agree strongly,Neutral; no opinion,Agree a little,Agree a little,Disagree a little,Agree strongly,Disagree strongly,Neutral; no opinion,Agree a little,Agree a little,Disagree a little,Disagree a little,Neutral; no opinion,Disagree a little,Disagree a little,Agree a little,Disagree a little,Neutral; no opinion,Disagree a little,Agree a little,Agree a little,Neutral; no opinion,Agree strongly,Agree a little,Agree a little,Neutral; no opinion,Disagree a little,Disagree strongly,Agree a little,Neutral; no opinion,Neutral; no opinion,Agree a little,Neutral; no opinion,Agree strongly,Agree a little,Disagree a little,Agree a little,Neutral; no opinion,Disagree a little,Disagree a little,Disagree a little,Disagree a little,Agree a little,Agree a little,Disagree a little,Disagree a little,Neutral; no opinion,Agree a little,Disagree a little,Neutral; no opinion,Disagree strongly,Agree a little,Female,United States,,White,,21-29,Graduated from college (B.A./B.S.),A2287HLNN9EZ56,kV2oUJjfts
10459732690,223681939,2019-01-10 17:48:01,2019-01-10 17:55:51,76.184.57.2,,,,,I would probably change mine. And if it was that important would talk with them. Do what I can to get that week off,I would try my best. I might not like it. But I will try to do the right thing.,Tell them that it is important. They need to go with. Stop being selfish and take one for the team.,I would give the feedback. I need to express myself the way I want. It is important to me to feel that way.,Enjoyable for sure. Learning about a new culture. Broaden my horizons.,Agree a little,Neutral; no opinion,Disagree strongly,Neutral; no opinion,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Agree a little,Agree a little,Agree strongly,Neutral; no opinion,Neutral; no opinion,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Disagree a little,Agree a little,Disagree strongly,Agree a little,Agree strongly,Agree a little,Disagree strongly,Disagree a little,Agree a little,Disagree a little,Disagree strongly,Neutral; no opinion,Disagree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Neutral; no opinion,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree a little,Agree a little,Disagree a little,Neutral; no opinion,Agree strongly,Agree a little,Disagree a little,Agree strongly,Disagree strongly,Disagree strongly,Disagree a little,Disagree strongly,Disagree a little,Agree strongly,Agree strongly,Agree a little,Disagree strongly,Neutral; no opinion,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Male,United States,,White,,30-39,Some college,A18UCBCCBKS6NY,fawfYPLC2s
10459732629,223681939,2019-01-10 17:45:08,2019-01-10 18:03:15,69.117.40.138,,,,,"It depends on what vacation it is and how far it is in the future. Is this last minute? Are these well established plans? Assuming that they are moderately well established, I think I'd try to be flexible and let me coworker have the week off.",I would probably still procreastinate until those last two weeks. That's just the type of person I am. I would juggle the tasks from my boss with the assignments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10459732481,223681939,2019-01-10 17:42:14,2019-01-10 17:58:45,75.86.105.105,,,,,I will give up my vacation plans. I need to maintian my employment and by being flexible it may be remembered by my supervisor in the future. I am a team player and do what I can to be viewed as such. I wouldn't want to risk my job or reputation over a vacation.,I would make sure that I spent as much time on my project as possible. The sooner I complete it the less likely it is that something will come in the way of doing it. If it came down to it I would ask to work extra hours if needed. I never allow myself to miss a deadline. I would even work for free if need be.,I would go to the networking meeting. It will be a great opportunity to meet new people. It is also ideal to make as many connections in the business world as possible. The more people you know the more opportunities will come your way.,"I would take the time to thoroughly examine the feedback and determine if it could be seen to be true by my manager. If it is a matter of perception I would gather information that shows it is not true. If I felt the manager was simply against me I would either look for a new job or consider talking to those that are above my manager to rectify the situation, depending on where I stood at my job.","I would greatly enjoy this experience. It would give me a chance to learn more about another culture and how to work well with people from different parts of the world. The more we know about how others think, the better equipt we are in social situations.",Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree a little,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree a little,Disagree a little,Agree strongly,Disagree a little,Agree a little,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Disagree a little,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree a little,Agree strongly,Neutral; no opinion,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Female,United States,,White,,30-39,Some college,AIJUY02ENAH9U,AWSf4lGpTl
10459732468,223681939,2019-01-10 17:47:41,2019-01-10 17:56:52,75.133.3.0,,,,,"I would have a conversation with my colleague and ask why they were inflexible on their plans. If my plans did not involve airline tickets and hotel stays already paid for, I could be flexible.",I would have everything of importance completed ahead of time to leave room for surprise changes or additions. ,I would go anyway and make new connections. I really don't need another person with me when I attend such events. ,I would feel that I should have a right to dispute and would request that. I would sit with my boss and have a conversation regarding this decision.,I would find it quite enjoyable. Research is something I relish and I would take this on with no problem.,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Neutral; no opinion,Agree a little,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree a little,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Agree a little,Agree a little,Disagree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree a little,Female,United States,,White,,50-59,Completed graduate school,A1DVNAQ217BZJF,qEQxDaouSG
10459732320,223681939,2019-01-10 17:47:35,2019-01-10 17:50:55,98.206.233.121,,,,,Well I would feel kinda bad because I’m not receiving the same benefits as the other colleague that is not fair in that sense because it creates this situation where one coworker get special privileges then the other that is a very unfair work environment in my opinion and isn’t good to work in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10459732235,223681939,2019-01-10 17:47:21,2019-01-10 17:58:33,63.144.88.66,,,,,"I would talk it over at home to see if we could come up with another date.  If not, I would talk to my supervisor about needing the same week off.  I would ask them how they would make a decision on who could have the time off (seniority, etc.).","I would most likely wait until closer to the due date to work on the project.  I tend to procrastinate at times.  I also find that I don't focus on the work if I start too far out from the deadline.  Usually, my best work comes under pressure.","I would ask my colleague to go with me - at least for a while.  I would ask them to go and introduce me to some of the key players, before the headed out for the night.  If they chose not to go, I would not go either.",I would schedule some time to come back and discuss it in more detail with my manager.  I would pull together my thoughts on what their feedback was.  I would then prepare my response and be ready to advocate for what I deserved to get a bonus.,I would find it somewhat enjoyable - but not as enjoyable as if I could also travel to Norway.  I would ask specifics about what I would be required to do.  I would also ask what criteria would be used to determine if travel was necessary.,Agree a little,Agree a little,Agree strongly,Disagree a little,Disagree strongly,Neutral; no opinion,Agree a little,Neutral; no opinion,Disagree a little,Agree a little,Agree strongly,Neutral; no opinion,Agree a little,Neutral; no opinion,Agree a little,Agree a little,Neutral; no opinion,Disagree a little,Disagree a little,Disagree strongly,Agree a little,Agree strongly,Agree a little,Neutral; no opinion,Agree a little,Agree a little,Disagree strongly,Neutral; no opinion,Agree a little,Neutral; no opinion,Neutral; no opinion,Disagree strongly,Neutral; no opinion,Agree a little,Neutral; no opinion,Disagree a little,Neutral; no opinion,Agree a little,Disagree a little,Neutral; no opinion,Disagree strongly,Agree a little,Disagree a little,Agree a little,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Disagree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Neutral; no opinion,Disagree a little,Neutral; no opinion,Agree a little,Neutral; no opinion,Neutral; no opinion,Disagree a little,Neutral; no opinion,Agree a little,Neutral; no opinion,Neutral; no opinion,Disagree strongly,Agree a little,Male,United States,,White,,40-49,Graduated from college (B.A./B.S.), A1Q29ZWY4NGSQS,ZexGaKadHx
10459731727,223681939,2019-01-10 17:44:13,2019-01-10 17:56:44,63.150.150.240,,,,,I would try to find out whom put their vacation request time in first. The person who put their's in last would need to reschedule their vacation.,I would work on the project since the workload is light until it is completed. If my boss gives me additional tasks I won't have to worry about completing the project since it will be done already.,I would go. The networking meeting is a great place to meet new people and hopefully get new business or possibly a new job. ,I would plead my case to my manager and try to find out why they are giving me the negative feedback. I would be prepared with proof that what he/she was saying was incorrect.,I would find the experience enjoyable. It is always fund to learn new things about a different country and the culture of that country. ,Agree strongly,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree strongly,Disagree strongly,Agree a little,Agree a little,Agree strongly,Neutral; no opinion,Neutral; no opinion,Agree strongly,Disagree strongly,Agree a little,Disagree a little,Disagree a little,Agree a little,Disagree strongly,Disagree a little,Neutral; no opinion,Agree strongly,Disagree a little,Disagree strongly,Agree strongly,Disagree a little,Disagree strongly,Neutral; no opinion,Disagree a little,Agree strongly,Disagree a little,Disagree a little,Agree a little,Neutral; no opinion,Agree a little,Disagree strongly,Neutral; no opinion,Disagree a little,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Neutral; no opinion,Agree strongly,Agree a little,Disagree strongly,Agree a little,Disagree a little,Disagree a little,Agree strongly,Neutral; no opinion,Disagree strongly,Agree a little,Agree a little,Disagree a little,Disagree a little,Agree a little,Neutral; no opinion,Disagree a little,Disagree a little,Disagree strongly,Agree a little,Female,United States,,White,,30-39,Graduated from college (B.A./B.S.),A3SW9UD9H8SQG7,nIoLBT7t4L
